21739,0.12
21834,0.09
21931,0.08
22026,0.09
22122,0.10
22217,0.12
22313,0.14
22409,0.15
22505,0.15
22600,0.13
22696,0.13
22792,0.12
22888,0.11
22984,0.11
23079,0.10
23176,0.10
23271,0.10
23367,0.08
23462,0.08
23559,0.10
23654,0.12
23750,0.11
23845,0.10
23942,0.08
24038,0.07
24133,0.06
24229,0.06
24325,0.07
24421,0.07
24516,0.06
24612,0.06
24708,0.06
24804,0.07
24899,0.07
24995,0.06
25092,0.07
25187,0.07
25283,0.06
25378,0.03
25475,0.03
25570,0.03
25666,0.04
25761,0.05
25858,0.04
25953,0.03
26049,0.04
26144,0.03
26241,0.04
26337,0.05
26432,0.05
26528,0.03
26624,0.02
26720,0.03
26815,0.03
26911,0.03
27006,0.02
27103,0.02
27198,0.01
27294,0.01
27390,0.01
27486,0.02
27582,0.04
27677,0.04
27773,0.03
27869,0.03
27965,0.01
28060,0.01
28156,0.01
28252,0.01
28348,0.00
28443,-0.02
28539,-0.03
28636,0.00
28731,0.03
28827,0.06
28922,0.06
29019,0.07
29114,0.06
29210,0.04
29305,0.03
29402,0.03
29497,0.03
29593,0.04
29688,0.03
29785,0.03
29880,0.01
29976,0.00
30072,0.02
30168,0.03
30264,0.02
30359,0.01
30455,0.01
30551,0.00
30647,0.01
30742,0.00
30838,0.00
30934,0.02
31030,0.03
31125,0.03
31221,0.03
31318,0.03
31413,0.03
31509,0.04
31604,0.07
31700,0.07
31796,0.08
31892,0.10
31987,0.11
32083,0.11
32179,0.09
32275,0.08
32370,0.09
32466,0.23
32563,1.39
32658,10.32
32754,44.15
32849,66.49
32946,84.20
33041,98.26
33137,102.92
33232,103.01
33329,102.99
33424,102.55
33520,102.02
33615,101.43
33712,100.80
33808,100.16
33903,99.52
33999,98.87
34095,98.05
34191,96.22
34286,86.65
34382,52.16
34478,29.16
34574,10.78
34669,-3.97
34765,-9.34
34861,-10.13
34957,-10.36
35053,-10.54
35148,-10.54
35245,-10.53
35340,-10.39
35436,-10.48
35531,-10.87
35628,-11.11
35723,-11.42
35819,-11.93
35914,-12.53
36011,-13.45
36106,-14.43
36202,-15.41
36297,-16.34
36393,-17.26
36490,-18.18
36585,-19.10
36681,-20.04
36776,-20.98
36873,-22.03
36968,-23.15
37064,-23.84
37159,-24.42
37256,-24.87
37351,-25.51
37447,-25.85
37542,-25.90
37639,-25.90
37735,-25.88
37830,-25.85
37926,-25.83
38022,-25.82
38118,-25.82
38213,-25.81
38309,-25.81
38405,-25.80
38501,-25.80
38596,-25.81
38692,-25.81
38788,-25.81
38884,-25.79
38980,-25.76
39075,-25.75
39172,-25.74
39267,-25.74
39363,-25.76
39458,-25.76
39555,-25.77
39650,-25.78
39746,-25.76
39841,-25.73
39938,-25.70
40033,-25.68
40129,-25.66
40225,-25.66
40321,-25.65
40417,-25.65
40512,-25.64
40608,-25.66
40704,-25.67
40800,-25.69
40895,-25.70
40991,-25.70
